2008,General Funds,General,General Funds:General,Human Welfare,HUMAN SERVICES,Human Welfare:HUMAN SERVICES,Revenue,INTERGOVERNMENTAL REVENUES-FEDERAL,Revenue:INTERGOVERNMENTAL REVENUES-FEDERAL,1175258
2008,General Funds,General,General Funds:General,Community Health,PUBLIC HEALTH,Community Health:PUBLIC HEALTH,Revenue,OPERATING TRANSFERS IN,Revenue:OPERATING TRANSFERS IN,6181713
2008,General Funds,General,General Funds:General,Administration and Finance,ASSESSOR / RECORDER,Administration and Finance:ASSESSOR / RECORDER,Expense,MANDATORY FRINGE BENEFITS,Expense:MANDATORY FRINGE BENEFITS,29371026
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Administration and Finance,HUMAN RESOURCES,Administration and Finance:HUMAN RESOURCES,Expense,SALARIES,Expense:SALARIES,3097980
2008,General Funds,General,General Funds:General,Culture and Recreation,ASIAN ART MUSEUM,Culture and Recreation:ASIAN ART MUSEUM,Expense,MANDATORY FRINGE BENEFITS,Expense:MANDATORY FRINGE BENEFITS,1084589
2008,General Funds,General,General Funds:General,Community Health,PUBLIC HEALTH,Community Health:PUBLIC HEALTH,Expense,CAPITAL OUTLAY,Expense:CAPITAL OUTLAY,3736885
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Public Works,GENERAL SERVICES AGENCY - PUBLIC WORKS,Public Works:GENERAL SERVICES AGENCY - PUBLIC WORKS,Revenue,CHARGES FOR SERVICES,Revenue:CHARGES FOR SERVICES,1843203
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Public Protection,POLICE,Public Protection:POLICE,Revenue,OPERATING TRANSFERS IN,Revenue:OPERATING TRANSFERS IN,2937301
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Public Protection,DEPARTMENT OF EMERGENCY MANAGEMENT,Public Protection:DEPARTMENT OF EMERGENCY MANAGEMENT,Revenue,OPERATING TRANSFERS IN,Revenue:OPERATING TRANSFERS IN,10950139
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Public Protection,POLICE,Public Protection:POLICE,Revenue,CHARGES FOR SERVICES,Revenue:CHARGES FOR SERVICES,2186500
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Public Works,GENERAL SERVICES AGENCY - PUBLIC WORKS,Public Works:GENERAL SERVICES AGENCY - PUBLIC WORKS,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,3214327
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Administration and Finance,GENERAL SERVICES AGENCY - CITY ADMIN,Administration and Finance:GENERAL SERVICES AGENCY - CITY ADMIN,Expense,CAPITAL OUTLAY,Expense:CAPITAL OUTLAY,5157020
2008,General Funds,General,General Funds:General,Administration and Finance,HEALTH SERVICE SYSTEM,Administration and Finance:HEALTH SERVICE SYSTEM,Expense,MANDATORY FRINGE BENEFITS,Expense:MANDATORY FRINGE BENEFITS,160089679
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Public Works,AIRPORT COMMISSION,Public Works:AIRPORT COMMISSION,Expense,FACILITIES MAINTENANCE,Expense:FACILITIES MAINTENANCE,7000000
2008,General Funds,General,General Funds:General,Human Welfare,ENVIRONMENT,Human Welfare:ENVIRONMENT,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,55976023
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Administration and Finance,GENERAL SERVICES AGENCY - CITY ADMIN,Administration and Finance:GENERAL SERVICES AGENCY - CITY ADMIN,Revenue,OPERATING TRANSFERS IN,Revenue:OPERATING TRANSFERS IN,8437192
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Human Welfare,CHILDREN AND FAMILIES COMMISSION,Human Welfare:CHILDREN AND FAMILIES COMMISSION,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,874765
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Culture and Recreation,WAR MEMORIAL,Culture and Recreation:WAR MEMORIAL,Revenue,INTRAFUND TRANSFERS IN,Revenue:INTRAFUND TRANSFERS IN,1038300
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Administration and Finance,GENERAL SERVICES AGENCY - CITY ADMIN,Administration and Finance:GENERAL SERVICES AGENCY - CITY ADMIN,Expense,INTRAFUND TRANSFERS OUT,Expense:INTRAFUND TRANSFERS OUT,19458084
2008,General Funds,General,General Funds:General,Administration and Finance,TREASURER/TAX COLLECTOR,Administration and Finance:TREASURER/TAX COLLECTOR,Revenue,LICENSES; PERMITS & FRANCHISES,Revenue:LICENSES; PERMITS & FRANCHISES,24000
2008,General Funds,General,General Funds:General,Administration and Finance,GENERAL SERVICES AGENCY - TECHNOLOGY,Administration and Finance:GENERAL SERVICES AGENCY - TECHNOLOGY,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,296338
2008,General Funds,General,General Funds:General,Administration and Finance,RETIREMENT SYSTEM,Administration and Finance:RETIREMENT SYSTEM,Revenue,CHARGES FOR SERVICES,Revenue:CHARGES FOR SERVICES,572776
2008,Internal Service Funds,Internal Service,Internal Service Funds:Internal Service,Administration and Finance,GENERAL SERVICES AGENCY - TECHNOLOGY,Administration and Finance:GENERAL SERVICES AGENCY - TECHNOLOGY,Expense,MATERIALS & SUPPLIES,Expense:MATERIALS & SUPPLIES,3620110
2008,General Funds,General,General Funds:General,Public Protection,DEPARTMENT OF EMERGENCY MANAGEMENT,Public Protection:DEPARTMENT OF EMERGENCY MANAGEMENT,Revenue,EXPENDITURE RECOVERY,Revenue:EXPENDITURE RECOVERY,0
2008,General Funds,General,General Funds:General,Public Works,GENERAL SERVICES AGENCY - PUBLIC WORKS,Public Works:GENERAL SERVICES AGENCY - PUBLIC WORKS,Revenue,FINES; FORFEITURES & PENALTIES,Revenue:FINES; FORFEITURES & PENALTIES,0
2008,General Funds,General,General Funds:General,Public Protection,FIRE DEPARTMENT,Public Protection:FIRE DEPARTMENT,Expense,MANDATORY FRINGE BENEFITS,Expense:MANDATORY FRINGE BENEFITS,36153205
2008,General Funds,General,General Funds:General,Culture and Recreation,FINE ARTS MUSEUM,Culture and Recreation:FINE ARTS MUSEUM,Revenue,OTHER LOCAL TAXES,Revenue:OTHER LOCAL TAXES,274246
2008,General Funds,General,General Funds:General,Public Protection,DISTRICT ATTORNEY,Public Protection:DISTRICT ATTORNEY,Expense,SERVICES OF OTHER DEPTS,Expense:SERVICES OF OTHER DEPTS,2269075
2008,General Funds,General,General Funds:General,Culture and Recreation,ARTS COMMISSION,Culture and Recreation:ARTS COMMISSION,Revenue,CHARGES FOR SERVICES,Revenue:CHARGES FOR SERVICES,223577
2008,General Funds,General,General Funds:General,Human Welfare,HUMAN SERVICES,Human Welfare:HUMAN SERVICES,Expense,MANDATORY FRINGE BENEFITS,Expense:MANDATORY FRINGE BENEFITS,78529981
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Public Protection,DISTRICT ATTORNEY,Public Protection:DISTRICT ATTORNEY,Expense,SALARIES,Expense:SALARIES,3629688
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Public Works,PORT,Public Works:PORT,Expense,FACILITIES MAINTENANCE,Expense:FACILITIES MAINTENANCE,3805848
2008,General Funds,General,General Funds:General,Public Protection,DEPARTMENT OF EMERGENCY MANAGEMENT,Public Protection:DEPARTMENT OF EMERGENCY MANAGEMENT,Expense,SERVICES OF OTHER DEPTS,Expense:SERVICES OF OTHER DEPTS,17672838
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Public Works,DEPARTMENT OF BUILDING INSPECTION,Public Works:DEPARTMENT OF BUILDING INSPECTION,Revenue,INTEREST & INVESTMENT INCOME,Revenue:INTEREST & INVESTMENT INCOME,887035
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Public Works,WATER DEPARTMENT,Public Works:WATER DEPARTMENT,Expense,MATERIALS & SUPPLIES,Expense:MATERIALS & SUPPLIES,11767676
2008,General Funds,General,General Funds:General,Public Protection,ADULT PROBATION,Public Protection:ADULT PROBATION,Expense,SALARIES,Expense:SALARIES,6865650
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Administration and Finance,GENERAL SERVICES AGENCY - CITY ADMIN,Administration and Finance:GENERAL SERVICES AGENCY - CITY ADMIN,Revenue,OTHER REVENUES,Revenue:OTHER REVENUES,500000
2008,General Funds,General,General Funds:General,Administration and Finance,TREASURER/TAX COLLECTOR,Administration and Finance:TREASURER/TAX COLLECTOR,Revenue,EXPENDITURE RECOVERY,Revenue:EXPENDITURE RECOVERY,4053038
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Human Welfare,CHILDREN AND FAMILIES COMMISSION,Human Welfare:CHILDREN AND FAMILIES COMMISSION,Expense,CITY GRANT PROGRAMS,Expense:CITY GRANT PROGRAMS,12846160
2008,General Funds,General,General Funds:General,Human Welfare,ENVIRONMENT,Human Welfare:ENVIRONMENT,Expense,OVERHEAD,Expense:OVERHEAD,2752051
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Public Protection,DISTRICT ATTORNEY,Public Protection:DISTRICT ATTORNEY,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,679951
2008,Capital Project Funds,Capital Project,Capital Project Funds:Capital Project,Culture and Recreation,PUBLIC LIBRARY,Culture and Recreation:PUBLIC LIBRARY,Expense,CAPITAL OUTLAY,Expense:CAPITAL OUTLAY,3827
2008,General Funds,General,General Funds:General,Public Protection,SHERIFF,Public Protection:SHERIFF,Expense,FACILITIES MAINTENANCE,Expense:FACILITIES MAINTENANCE,467500
2008,General Funds,General,General Funds:General,Culture and Recreation,RECREATION AND PARK COMMISSION,Culture and Recreation:RECREATION AND PARK COMMISSION,Expense,MATERIALS & SUPPLIES,Expense:MATERIALS & SUPPLIES,3871548
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Public Protection,POLICE,Public Protection:POLICE,Expense,SALARIES,Expense:SALARIES,5687408
2008,General Funds,General,General Funds:General,Administration and Finance,HUMAN RESOURCES,Administration and Finance:HUMAN RESOURCES,Revenue,EXPENDITURE RECOVERY,Revenue:EXPENDITURE RECOVERY,15717795
2008,General Funds,General,General Funds:General,Public Works,BOARD OF APPEALS,Public Works:BOARD OF APPEALS,Revenue,CHARGES FOR SERVICES,Revenue:CHARGES FOR SERVICES,0
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Public Works,MTA-MUNICIPAL RAILWAY,Public Works:MTA-MUNICIPAL RAILWAY,Revenue,OPERATING TRANSFERS IN,Revenue:OPERATING TRANSFERS IN,198697669
2008,General Funds,General,General Funds:General,Culture and Recreation,LAW LIBRARY,Culture and Recreation:LAW LIBRARY,Expense,SALARIES,Expense:SALARIES,32735
2008,General Funds,General,General Funds:General,Culture and Recreation,RECREATION AND PARK COMMISSION,Culture and Recreation:RECREATION AND PARK COMMISSION,Expense,SERVICES OF OTHER DEPTS,Expense:SERVICES OF OTHER DEPTS,17060189
2008,General Funds,General,General Funds:General,Community Health,PUBLIC HEALTH,Community Health:PUBLIC HEALTH,Revenue,OTHER REVENUES,Revenue:OTHER REVENUES,7394544
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Public Works,PORT,Public Works:PORT,Expense,CAPITAL OUTLAY,Expense:CAPITAL OUTLAY,7789058
2008,General Funds,General,General Funds:General,Public Protection,POLICE,Public Protection:POLICE,Expense,SALARIES,Expense:SALARIES,18239994
2008,General Funds,General,General Funds:General,Public Protection,JUVENILE PROBATION,Public Protection:JUVENILE PROBATION,Revenue,INTERGOVERNMENTAL REVENUES-STATE,Revenue:INTERGOVERNMENTAL REVENUES-STATE,3108
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Community Health,PUBLIC HEALTH,Community Health:PUBLIC HEALTH,Expense,CAPITAL OUTLAY,Expense:CAPITAL OUTLAY,111834289
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Administration and Finance,CITY PLANNING,Administration and Finance:CITY PLANNING,Revenue,INTERGOVERNMENTAL REVENUES-OTHER,Revenue:INTERGOVERNMENTAL REVENUES-OTHER,0
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Public Works,ECONOMIC AND WORKFORCE DEVELOPMENT,Public Works:ECONOMIC AND WORKFORCE DEVELOPMENT,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,911008
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Community Health,PUBLIC HEALTH,Community Health:PUBLIC HEALTH,Expense,SALARIES,Expense:SALARIES,357292381
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Human Welfare,CHILD SUPPORT SERVICES,Human Welfare:CHILD SUPPORT SERVICES,Expense,MATERIALS & SUPPLIES,Expense:MATERIALS & SUPPLIES,133333
2008,General Funds,General,General Funds:General,Community Health,PUBLIC HEALTH,Community Health:PUBLIC HEALTH,Expense,SERVICES OF OTHER DEPTS,Expense:SERVICES OF OTHER DEPTS,121119229
2008,General Funds,General,General Funds:General,Administration and Finance,GENERAL SERVICES AGENCY - CITY ADMIN,Administration and Finance:GENERAL SERVICES AGENCY - CITY ADMIN,Revenue,FINES; FORFEITURES & PENALTIES,Revenue:FINES; FORFEITURES & PENALTIES,12929
2008,General Funds,General,General Funds:General,Culture and Recreation,FINE ARTS MUSEUM,Culture and Recreation:FINE ARTS MUSEUM,Expense,MATERIALS & SUPPLIES,Expense:MATERIALS & SUPPLIES,435191
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Administration and Finance,MAYOR,Administration and Finance:MAYOR,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,1071061
2008,General Funds,General,General Funds:General,Community Health,PUBLIC HEALTH,Community Health:PUBLIC HEALTH,Expense,SALARIES,Expense:SALARIES,32453674
2008,Internal Service Funds,Internal Service,Internal Service Funds:Internal Service,Administration and Finance,GENERAL SERVICES AGENCY - CITY ADMIN,Administration and Finance:GENERAL SERVICES AGENCY - CITY ADMIN,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,2581990
2008,Other Agency Funds,Other Agency,Other Agency Funds:Other Agency,Administration and Finance,RETIREMENT SYSTEM,Administration and Finance:RETIREMENT SYSTEM,Expense,MANDATORY FRINGE BENEFITS,Expense:MANDATORY FRINGE BENEFITS,2599596
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Human Welfare,ENVIRONMENT,Human Welfare:ENVIRONMENT,Revenue,INTERGOVERNMENTAL REVENUES-OTHER,Revenue:INTERGOVERNMENTAL REVENUES-OTHER,206808
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Administration and Finance,GENERAL SERVICES AGENCY - CITY ADMIN,Administration and Finance:GENERAL SERVICES AGENCY - CITY ADMIN,Expense,SALARIES,Expense:SALARIES,3095682
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Culture and Recreation,PUBLIC LIBRARY,Culture and Recreation:PUBLIC LIBRARY,Revenue,INTRAFUND TRANSFERS IN,Revenue:INTRAFUND TRANSFERS IN,6467210
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Community Health,PUBLIC HEALTH,Community Health:PUBLIC HEALTH,Expense,OVERHEAD,Expense:OVERHEAD,1632920
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Public Works,PORT,Public Works:PORT,Expense,OVERHEAD,Expense:OVERHEAD,538550
2008,General Funds,General,General Funds:General,Administration and Finance,GENERAL SERVICES AGENCY - TECHNOLOGY,Administration and Finance:GENERAL SERVICES AGENCY - TECHNOLOGY,Expense,MATERIALS & SUPPLIES,Expense:MATERIALS & SUPPLIES,16375
2008,General Funds,General,General Funds:General,Culture and Recreation,ARTS COMMISSION,Culture and Recreation:ARTS COMMISSION,Revenue,INTRAFUND TRANSFERS IN,Revenue:INTRAFUND TRANSFERS IN,250000
2008,General Funds,General,General Funds:General,Public Protection,PUBLIC DEFENDER,Public Protection:PUBLIC DEFENDER,Expense,SERVICES OF OTHER DEPTS,Expense:SERVICES OF OTHER DEPTS,10981997
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Administration and Finance,GENERAL SERVICES AGENCY - TECHNOLOGY,Administration and Finance:GENERAL SERVICES AGENCY - TECHNOLOGY,Expense,MATERIALS & SUPPLIES,Expense:MATERIALS & SUPPLIES,4349
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Public Works,MTA-PARKING AND TRAFFIC COMMISSION,Public Works:MTA-PARKING AND TRAFFIC COMMISSION,Expense,MANDATORY FRINGE BENEFITS,Expense:MANDATORY FRINGE BENEFITS,14960709
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Administration and Finance,GENERAL SERVICES AGENCY - CITY ADMIN,Administration and Finance:GENERAL SERVICES AGENCY - CITY ADMIN,Expense,SERVICES OF OTHER DEPTS,Expense:SERVICES OF OTHER DEPTS,11429693
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Human Welfare,HUMAN SERVICES,Human Welfare:HUMAN SERVICES,Expense,CITY GRANT PROGRAMS,Expense:CITY GRANT PROGRAMS,34138894
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Culture and Recreation,ARTS COMMISSION,Culture and Recreation:ARTS COMMISSION,Expense,SERVICES OF OTHER DEPTS,Expense:SERVICES OF OTHER DEPTS,49880
2008,General Funds,General,General Funds:General,Public Protection,PUBLIC DEFENDER,Public Protection:PUBLIC DEFENDER,Expense,MATERIALS & SUPPLIES,Expense:MATERIALS & SUPPLIES,1481412
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Culture and Recreation,WAR MEMORIAL,Culture and Recreation:WAR MEMORIAL,Expense,OVERHEAD,Expense:OVERHEAD,306763
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Public Works,WATER DEPARTMENT,Public Works:WATER DEPARTMENT,Expense,FACILITIES MAINTENANCE,Expense:FACILITIES MAINTENANCE,3385000
2008,General Funds,General,General Funds:General,Public Protection,DISTRICT ATTORNEY,Public Protection:DISTRICT ATTORNEY,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,2261714
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Public Protection,POLICE,Public Protection:POLICE,Expense,MANDATORY FRINGE BENEFITS,Expense:MANDATORY FRINGE BENEFITS,1045342
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Community Health,PUBLIC HEALTH,Community Health:PUBLIC HEALTH,Expense,FACILITIES MAINTENANCE,Expense:FACILITIES MAINTENANCE,2205000
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Public Works,MTA-MUNICIPAL RAILWAY,Public Works:MTA-MUNICIPAL RAILWAY,Revenue,FINES; FORFEITURES & PENALTIES,Revenue:FINES; FORFEITURES & PENALTIES,102057195
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Administration and Finance,HUMAN RESOURCES,Administration and Finance:HUMAN RESOURCES,Revenue,EXPENDITURE RECOVERY,Revenue:EXPENDITURE RECOVERY,56323618
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Administration and Finance,ASSESSOR / RECORDER,Administration and Finance:ASSESSOR / RECORDER,Expense,MANDATORY FRINGE BENEFITS,Expense:MANDATORY FRINGE BENEFITS,214913
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Public Protection,POLICE,Public Protection:POLICE,Expense,CAPITAL OUTLAY,Expense:CAPITAL OUTLAY,917319
2008,General Funds,General,General Funds:General,Human Welfare,HUMAN RIGHTS COMMISSION,Human Welfare:HUMAN RIGHTS COMMISSION,Expense,SERVICES OF OTHER DEPTS,Expense:SERVICES OF OTHER DEPTS,326469
2008,General Funds,General,General Funds:General,Other,SUPERIOR COURT,Other:SUPERIOR COURT,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,13973004
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Public Works,AIRPORT COMMISSION,Public Works:AIRPORT COMMISSION,Revenue,INTERGOVERNMENTAL REVENUES-STATE,Revenue:INTERGOVERNMENTAL REVENUES-STATE,0
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Culture and Recreation,WAR MEMORIAL,Culture and Recreation:WAR MEMORIAL,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,687654
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Public Protection,DISTRICT ATTORNEY,Public Protection:DISTRICT ATTORNEY,Expense,MANDATORY FRINGE BENEFITS,Expense:MANDATORY FRINGE BENEFITS,952962
2008,General Funds,General,General Funds:General,Human Welfare,HUMAN SERVICES,Human Welfare:HUMAN SERVICES,Expense,SALARIES,Expense:SALARIES,47086994
2008,General Funds,General,General Funds:General,Human Welfare,CHILDREN YOUTH & THEIR FAMILIES,Human Welfare:CHILDREN YOUTH & THEIR FAMILIES,Expense,CITY GRANT PROGRAMS,Expense:CITY GRANT PROGRAMS,15184178
2008,General Funds,General,General Funds:General,Public Protection,POLICE,Public Protection:POLICE,Revenue,EXPENDITURE RECOVERY,Revenue:EXPENDITURE RECOVERY,13761752
2008,Special Revenue Funds,Special Revenue,Special Revenue Funds:Special Revenue,Human Welfare,CHILDREN YOUTH & THEIR FAMILIES,Human Welfare:CHILDREN YOUTH & THEIR FAMILIES,Revenue,INTEREST & INVESTMENT INCOME,Revenue:INTEREST & INVESTMENT INCOME,108000
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Community Health,PUBLIC HEALTH,Community Health:PUBLIC HEALTH,Revenue,OTHER FINANCING SOURCES,Revenue:OTHER FINANCING SOURCES,28823000
2008,Enterprise Funds,Enterprise,Enterprise Funds:Enterprise,Public Works,PUBLIC UTILITIES COMMISSION,Public Works:PUBLIC UTILITIES COMMISSION,Expense,NON PERSONNEL SERVICES,Expense:NON PERSONNEL SERVICES,20144178
